"Инспектор, сменивший статус","Код НО инспектора, сменившего стат",Score,Experience,Qualification,p_SCHEMA,p_RISK_LONG,p_RISK_SHORT,p_TASK
12155-twyb-tpgiqb-zodrhufq,900,0.43086956521739134,0.1424202471887338,0.5732898124061252,0.0,0.0,0.5,0.5
12157-hmch-ynjbrz-udlcbwhm,1500,0.5,0.018443473677266398,0.5184434736772664,0.0,0.0,0.5,0.5
12166-tolx-iaftvk-jlfhlhbg,1500,0.0,0.3047821669899484,0.3047821669899484,0.0,0.0,0.5,0.5
12175-ynap-pemsfi-ipeoaqny,7451,0.40378378378378377,0.25133951161443074,0.6551232953982145,0.0,0.0,0.5,0.5
12178-bpoc-ryqcax-pjhqarkl,1644,0.0,0.025739375624994676,0.025739375624994676,0.0,0.0,0.5,0.5
12180-didz-tnwkkd-mxhuklll,500,0.0,0.13932323211830572,0.13932323211830572,0.0,0.0,0.5,0.5
12182-oepd-qivipd-ydgjzixw,9102,0.0,0.45413294298332685,0.45413294298332685,0.0,0.0,0.5,0.5
12189-jkex-xxbigi-zfgecitk,3849,0.5,0.11978094533348621,0.6197809453334862,0.0,0.0,0.5,0.5
12189-wdlb-mrbxkq-amanbzti,6658,0.5282300884955753,0.07244743604561155,0.6006775245411868,0.0,0.0,0.5,0.5
12196-lcjy-uakeua-imursihf,7709,0.36433962264150943,0.2447263801387815,0.609066002780291,0.0,0.0,0.5,0.5
12202-frjg-fmjzvq-urmkelat,6612,0.0,0.49282522705530035,0.49282522705530035,0.0,0.0,0.5,0.5
12204-hzkn-mjwlay-bxtlmamx,2700,0.3066666666666667,0.1210276357557502,0.4276943024224169,0.0,0.0,0.5,0.5
12206-naia-bxlrdo-lhizwxkn,6670,0.75,0.3360677737029393,1.0860677737029394,0.5,0.5,0.0,0.0
12208-adhp-ldvxsq-keujgndq,6439,0.0,0.3808098076643588,0.3808098076643588,0.0,0.0,0.5,0.5
12209-podf-bzjimq-kihydllx,6700,0.4666666666666666,0.11881877199619983,0.5854854386628665,0.0,0.0,0.5,0.5
12209-upcl-bbbjxf-bdnwvbds,6677,0.5225,0.3641081743059298,0.8866081743059298,0.5,0.5,0.0,0.0
12220-tphp-tckzro-oidqexgg,7224,0.0,0.1838915663596266,0.1838915663596266,0.0,0.0,0.5,0.5
12226-dsmd-zoqshm-keivtvpr,5919,0.3875,0.31615291529678974,0.7036529152967897,0.0,0.0,0.5,0.5
12229-jwml-hstgzd-qgdpdlda,2700,0.86,0.31676485538044735,1.1767648553804473,0.5,0.5,0.0,0.0
12229-oroi-semkna-afxnkted,3900,0.37785714285714284,0.26788734203737924,0.6457444848945221,0.0,0.0,0.5,0.5
12240-fnfz-fwslkc-jiuwfyre,6617,1.0,0.04514488502720415,1.045144885027204,0.5,0.5,0.0,0.0
12241-dzjt-jmokak-ochuxqww,6164,0.409,0.417651247794619,0.826651247794619,0.5,0.5,0.0,0.0
12246-cbxj-xkgydo-rqhnwxpo,6617,0.24,0.16039003248586792,0.4003900324858679,0.0,0.0,0.5,0.5
12251-egmu-gmrskw-yrshqneb,500,0.38875,0.09325925519992712,0.4820092551999271,0.0,0.0,0.5,0.5
12265-lwow-exglig-kzhzvtjx,500,0.0,0.020387570777381958,0.020387570777381958,0.0,0.0,0.5,0.5
12274-rzrr-phpoct-fwkdsysy,7300,0.0,0.2954464715941209,0.2954464715941209,0.0,0.0,0.5,0.5
12292-ylap-uupxho-gvmgnfzh,3200,0.55,0.3387821809211412,0.8887821809211413,0.5,0.5,0.0,0.0
12295-utaw-auwifn-gkzesanu,7721,0.39142857142857146,0.008293914463928076,0.39972248589249953,0.0,0.0,0.5,0.5
12295-wlvm-moslez-npavfwsp,700,0.25,0.2560465291496405,0.5060465291496405,0.0,0.0,0.5,0.5
12305-nwjs-fsuton-iwuoozil,2411,0.5,0.11324788759896898,0.613247887598969,0.0,0.0,0.5,0.5
12305-ptqj-hqrlgj-fluylkxg,6450,0.31,0.32258639520472493,0.6325863952047249,0.0,0.0,0.5,0.5
12311-ibpc-nagcip-nuhersko,7606,0.44333333333333336,0.08718321450249572,0.5305165478358291,0.0,0.0,0.5,0.5
12316-shrw-nlollr-zweunueq,5505,0.3778260869565217,0.345468869051233,0.7232949560077546,0.5,0.5,0.0,0.0
12327-thft-sbahcz-faeosplv,7728,0.46454545454545454,0.1933676731502687,0.6579131276957233,0.0,0.0,0.5,0.5
12332-kntx-ocdnwy-snpncngl,9974,0.5675,0.46836499436836726,1.0358649943683673,0.5,0.5,0.0,0.0
12349-blhq-tirxsd-taufweoz,7811,0.0,0.06876047207299663,0.06876047207299663,0.0,0.0,0.5,0.5
12350-kipz-edkehp-rhimyovq,7451,0.0,0.17053317552512925,0.17053317552512925,0.0,0.0,0.5,0.5
12352-dazw-lgbhbs-tnjynxjl,2700,0.64,0.056736760620294535,0.6967367606202945,0.0,0.0,0.5,0.5
12353-ksai-sgwbvb-cgoqbotf,7702,0.0,0.4623468091392814,0.4623468091392814,0.0,0.0,0.5,0.5
12363-kfpk-npuseh-nbrytonr,7720,0.3051351351351351,0.4386696766904905,0.7438048118256256,0.5,0.5,0.0,0.0
12371-kqvd-ufnigy-byqfsdtf,7718,0.45225806451612904,0.1289708138575778,0.5812288783737068,0.0,0.0,0.5,0.5
12371-tfwg-mdapov-ipmjlsqp,6174,0.6375,0.3299920230170895,0.9674920230170895,0.5,0.5,0.0,0.0
12374-wcuj-fdrcoa-ubmkemte,2511,0.4733333333333334,0.4086111001006079,0.8819444334339412,0.5,0.5,0.0,0.0
12383-cxto-roklsz-pbobwuat,7610,0.25,0.27760040579973116,0.5276004057997312,0.0,0.0,0.5,0.5
12386-bhwm-bzuvdl-kiloprur,1655,0.215,0.26482528917800324,0.47982528917800327,0.0,0.0,0.5,0.5
12396-ttmx-kutzan-zolkdzik,7735,0.0,0.12092614545022584,0.12092614545022584,0.0,0.0,0.5,0.5
12401-fvds-punewd-ovotutkz,1650,0.07666666666666667,0.046551383902949606,0.12321805056961628,0.0,0.0,0.5,0.5
12409-mbnx-iiukwi-qnomvmtt,600,0.4,0.4486078789766634,0.8486078789766633,0.5,0.5,0.0,0.0
12410-itzp-dnmbdg-unccklel,1300,0.66,0.4502090285816652,1.1102090285816653,0.5,0.5,0.0,0.0
12419-evba-gadmel-ksiuzhcp,1100,0.0,0.31655072863663397,0.31655072863663397,0.0,0.0,0.5,0.5
12425-tdzq-lqljdm-vnwtwzwn,4900,0.5388888888888889,0.16951489552435034,0.7084037844132391,0.0,0.0,0.5,0.5
12426-jlor-pvyacu-sqqxwuhm,7300,0.0,0.17460478730633044,0.17460478730633044,0.0,0.0,0.5,0.5
12430-radn-foykio-izjovprl,2000,0.595,0.3629778394351197,0.9579778394351197,0.5,0.5,0.0,0.0
12450-zzat-wbwtjo-oiwkcglr,2369,0.33,0.44855512997628855,0.7785551299762885,0.5,0.5,0.0,0.0
12462-ynqz-pyzuye-gowyouxp,5100,0.86,0.44354321213255865,1.3035432121325585,0.5,0.5,0.0,0.0
12463-awca-orhlbp-dydbwzru,9111,0.0,0.38993777292881193,0.38993777292881193,0.0,0.0,0.5,0.5
12465-xkal-qvnqps-ldtbdyzf,1674,0.46,0.3210158230771439,0.7810158230771439,0.5,0.5,0.0,0.0
12467-nmpd-pacqio-fodpzllq,7714,0.0,0.042069982497524416,0.042069982497524416,0.0,0.0,0.5,0.5
